newspaper_name,date,headline,article,summary,category
The Economic Times,2011-09-11 00:00:00,Terrorists may use small plane or chopper to attack  Chhatrapati Shivaji International Airport in Mumbai : IB,"NEW DELHI: Security at the Chhatrapati Shivaji International Airport in Mumbai has been tightened following a warning from the Intelligence Bureau of the possibility of a terror strike on the airport using a small plane or helicopter.
""IB inputs indicate that terrorists may use a small aircraft or chopper to strike at the busy Mumbai airport. Though the threat is specific to the Mumbai airport, the Centre has also alerted neighboring Gujarat, Madhya Pradesh, Karnataka and Goa as terror elements may take off in small planes from unmanned airstrips or less-used helipads in these states to access the Mumbai airport,"" a senior CISF official told ET.
The alert does not identify the source of the threat. It is also not time-specific. However, security agencies are taking no chances, given the recent bomb blasts in Mumbai and Delhi, and have heightened the security arrangements at the Mumbai airport as well as at airstrips and helipads across Maharashtra and its neighbouring states.
In general, security has been beefed up at the airport, with the Central Industrial Security Force, Bureau of Civil Aviation Security and the Mumbai Police in charge of security. Flight operations are normal,"" an airport spokesperson told news agencies in Mumbai.
The Intelligence Bureau alert, sent to the five states on September 9, asked state police and agencies to keep an eye on those hiring small private aircraft or choppers as well as agencies leasing them.
Vigilance has been advised at unmanned airstrips and less-used commercial helipads in the states concerned to prevent terrorists from using them to take off in small planes to hit the Chhatrapati Shivaji International Airport. The Mumbai Police and CISF have been asked to step up surveillance at all access points to the Mumbai airport.
Police have sought vigil at the unmanned airstrips and sparingly used commercial helipads located in Maharashtra and neighbouring states. No takeoff or landings are to be allowed from these airstrips and helipads without proper verification of the hirer of the aircraft as well as leasing agency.
","The airport in Mumbai is being extra careful because there's a warning that terrorists might try to attack using a small plane or helicopter. Even though they don't know exactly when or where this might happen, they're taking it seriously. They've also told nearby states to be on the lookout, just in case. They're keeping an eye on people renting small planes or helicopters and making sure they're checked properly. They're also watching smaller airfields and helipads to stop any unauthorized takeoffs towards Mumbai. The police are doing all of this to keep everyone safe.",Politics
"Sonowal hails court martial verdict on 1994 fake encounter, says it will strengthen faith in Army",2023-10-15 00:00:00,"Sonowal hails court martial verdict on 1994 fake encounter, says it will strengthen faith in Army","Assam Chief Minister Sarbananda Sonowal Monday welcomed a general court martial verdict sentencing seven Army personnel, including a major general, to life imprisonment for a fake encounter 24 years ago and said it would strengthen people’s faith in the judiciary and the Army. The court martial looked into the extra-judicial killing of five people after a unit of the Punjab Regiment picked them up along with four others from different places in Tinsukia between February 17-19 in 1994. Those found guilty are Major General A K Lal, Colonels Thomas Mathew and R S Sibiren and JCOs and NCOs Dilip Singh, Jagdeo Singh, Albindar Singh and Shivendar Singh. “It is a welcome judgment. The judgment will strengthen people’s faith in judiciary and the Army,” Sonowal told PTI. He said the verdict, which was delivered Saturday, will be a deterrent to people in authority not to engage in unlawful acts and to behave responsibly and in a fair manner. The verdict will give solace to the families of the victims, who were innocent students and youths, the chief minister added. The summary general court martial, held at the 2 Infantry Mountain Division at Dinjan in Dibrugarh district of Assam, held the seven army personnel guilty and sentenced them to life imprisonment. Sonowal said the judgement is a reflection of India’s democratic values where human rights and fairness are respected. “The Army has also worked in a fair manner without any prejudice,” he said. During the 1994 fake encounter at Dangori in Tinsukia district of Assam, Sonowal was president of the All Assam Students’ Union (AASU) and had sought an impartial probe into the case. “The long wait of the families for justice has come to an end and I hope the higher authorities will uphold the judgement,” he said. The verdict will have to be confirmed by the “higher competent authorities” like the Eastern Command in Kolkata and Army Headquarters in New Delhi. The Army men can file appeals against the verdict before the armed forces tribunal and the Supreme Court. The Army detained the group of nine at the Dhola Army camp after the general manager of Assam Frontier Tea Limited at Talap Tea Estate, Rameswar Singh, was killed by Ulfa militants.","For the fake encounter in febraury 1994 a general court martial verdict sentencing seven army personnel to life imprisonment. Now the ""higher competent authorities"" like army headquarters in new delhi has to confirm it. The guilty were detained at dhola army camp. they can file for appeals before the armed forces tribunal and the supreme court.",Army
Indian Express,2003-11-23 00:00:00,Nepal links: A question mark,"The CBI headquarters may have sought the intervention of the Nepal government to seek custody of Madhumani on grounds of reports that she was being sheltered by two MPs of the Himalayan kingdom, but is Madhumani still on the other side of Mount Everest? Well, the CBI is yet to establish this.
Sources said that the CBI had clues about Madhumani being in safe heavens of Nepal and hence sought the help of the Nepal government and the Royal Nepal police to extradite her.

But the premier investigative agency was now working on possibilities that she might have sneaked back into India and be very much present in UP itself.

As there was no extradition treaty with Nepal, a memorandum of understanding (MoU) was the only pact between India and Nepal on deportation of their respective citizens at the request of the parent nation. Here, neither lengthy formalities of deportation through extradition are required, nor is it mandatory for any country to hand back the people.
The same problem emerged when a dozen of Maoist rebels were traced in UP, undergoing treatment at various private nursing homes for injuries suffered during their ongoing war with the Nepal government.
After a pact between the two countries was signed, they were simply handed over to the Royal Nepal Police at the borders. Sources said that this simple exchange of outlaws was one mode which would facilitate the return of Madhumani, More so because the CBI in India is the nodal agency which co-ordinates with the Interpol for across the border investigations and as Madhumani was wanted by the CBI itself, there was not much that was to be done to get her back.
But then, is Madhumani still in Nepal or she was there when the CBI collected the proof of her availability at the houses of the two MPs and, thereafter had returned to India? This is one question which the CBI says was worth more than a million dollars.","The Central Bureau of Investigation (CBI) has been attempting to secure the custody of Madhumani, who is believed to be in Nepal with potential shelter from two MPs. However, the CBI is still uncertain about her current location. They initially sought Nepal's assistance for her extradition but are now considering the possibility that she might have returned to India, specifically Uttar Pradesh. Since there is no extradition treaty between India and Nepal, an MOU facilitates the deportation of individuals at the request of their home country. This process was previously used when Maoist rebels were found in Uttar Pradesh, leading to their handover to the Royal Nepal Police at the border. The CBI, being the coordinating agency with Interpol for cross-border investigations, is working towards bringing Madhumani back. However, the question of her current whereabouts remains a significant concern for the CBI.",National News
Hindustan Times,2023-10-15 00:00:00,How Afghanistan ended 14-match losing streak to beat defending champions England for biggest upset in World Cup history,"It’s 2015 all over again for England as the defending champions endured quite possibly the biggest upset in World Cup history. Afghanistan punched above their weight to pull off an absolute shocker and secure a monumental 69-run win which live through their cricketing folklore forever.England's captain Jos Butler leaves the ground after losing his wicket as Afghanistan's Naveen-ul-Haq celebrates with teammates during the ICC Men's Cricket World Cup match between Afghanistan and England(AP)The upset at Delhi’s Arun Jaitley stadium is England’s biggest since Bangladesh knocked them out in the 2015 edition, or the one Ireland caused them in 2011 as Jos Buttler and his men were handed a brutal reminder of their past demons. On a seemingly quiet Sunday evening, after the razzmatazz of the much-awaited India-Pakistan match in Ahmedabad's Narendra Modi Stadium, Afghanistan compelled world cricket to shift their focus to Delhi as they created history.","In 2015, England faced a potentially historic upset in the World Cup, as Afghanistan secured a monumental 69-run win against England. The defending champions, England, suffered their biggest upset since Bangladesh knocked them out in the 2015 edition or Ireland's 2011 defeat. The 69-run win at Delhi's Arun Jaitley stadium is England's biggest since Bangladesh knocked them out in the 2015 edition, and Afghanistan's victory has left cricketers in Delhi with a lasting impact on their cricketing history.",Sports
The Economic Times,2020-04-25 00:00:00,Infectious diseases experts divided over May 3 lockdown exit ,"Mumbai: As India approaches the May 3 deadline for lifting the nationwide lockdown, top epidemiologists are divided over the future course of Covid-19 management and the strategy to be followed in getting the country back to work.
Two veteran infectious diseases experts — Jayaprakash Muliyal and T Jacob John, who were at the forefront of the leprosy eradication and pulse polio immunisation programmes, respectively — feel it’s time to end the lockdown, with one of them describing a long-term shutdown as akin to ‘burning the house to kill a rat’.
Experts from the official health establishment, however, advocate phased relief, with strict containment measures guided by surveillance mechanisms. They warn that achieving ‘herd immunity’ is a costly proposition that will result in a surge of positive cases, which will overwhelm the healthcare system.My advice is: Keep the elderly out of the picture for the time being, as the disease hurts them the most. So, we quarantine the old for two-three months and let the youngsters get to work,” Muliyal told ET.
“Several of them will fall ill, unfortunately, but there will be adequate space in hospitals to treat them. So, mortality can be further reduced. And then, we reach the point of saturation, or herd immunity,” he added.
Act of Stopping Time: T Jacob John
Muliyal has been a big proponent of the ‘herd immunity’ concept. This is a strategy where you let natural immunisation take place by a large population contracting the disease, thereby halting the spread of the infection.
This controversial concept was initially promoted by UK Prime Minister Boris Johnson, before the country reversed its stance on the issue. Recent random antibody testing in New York reveals that 20% of that city’s population may have contracted Covid-19 and recovered on its own.
According to Muliyal, herd immunity may already be developing in India as reports come in of people with sub-clinical and mildly clinical symptoms. “Along with epidemic, the natural immunisation process is also going on… all I am saying is, don’t forget that,” he said, adding the country needs to worry about availability of beds in hospitals. This disease seems to spare the young, as mortality rates in that segment are very low, Muliyal said.
John described the lockdown as an act of stopping time. “It just froze time. Once you unfreeze time, whatever you stopped day before the lockdown, it will pick up. So, lockdown is not simply for reducing the transmission or flattening the curve, it is because you need time to prepare. And if you didn’t prepare in two weeks, you won’t be prepared in four weeks either,” he told ET.
John compared the lockdown effort for hunting the virus to the story of a ‘clever man’, who burnt down a house to kill a rat. “The lockdown was good for two weeks, three weeks was the upper limit. Anything more than that will be like burning the house down,” he said.
At the other end of the spectrum, two experts who are part of the National Task Force of the Indian Council of Medical Research (ICMR), said the country needs to get used to a new normal.
The best post-lockdown strategy is to implement phased relief, with stricter containment measures guided by strong surveillance mechanisms. Herd immunity as a concept is mostly theoretical at this stage since reinfections are known to exist in communities that have had the infection earlier,” said Giridhara Babu, an infectious diseases expert with the Public Health Foundation of India.
""I think the lockdown has been successful in keeping the burden low, helping in preparedness and scaling up testing. It has proven most models predicting a worse scenario wrong,” said Sanjay Pujari, director of the Institute of Infectious Diseases.
Pujari said herd immunity may be a good concept for infections with low morbidity and fatality rates. But in case of Covid-19, trying to achieve herd immunity will lead to a surge in cases which will overwhelm health systems.
","Some experts believe it's time to end the lockdown, saying it's like burning the house down to kill a rat. They suggest quarantining the elderly and letting the young go back to work. They think natural immunity might already be happening. Others say we should have a gradual return to normal with strong surveillance. They caution against relying on herd immunity, as it could lead to too many cases. The lockdown has helped prepare and scale up testing. So, while opinions differ, it's important to stay cautious.",Health and Wellness
Hindustan Times,2023-06-12 00:00:00,Article 370 pleas will be heard day-to-day,"The Supreme Court on Tuesday said it would begin day-to-day hearings from August 2 on a clutch of petitions pertaining to the nullification of Article 370 of the Constitution, and recorded a statement by the Union government that it will not rely upon the contents of an affidavit filed a day ago to bring on record the scenario in Jammu & Kashmir since the move.

Observing that the challenge to the abrogation of Article 370 — which conferred special status on J&K until August 2019 — is a “pure question of constitutional validity”, a five-judge bench, comprising Chief Justice of India Dhananjaya Y Chandrachud and justices Sanjay Kishan Kaul, Sanjiv Khanna, BR Gavai and Surya Kant, set down the matter for an extensive hearing in the first week of August. It asked all parties to submit the documents they want to rely upon by July 27.

“The learned Solicitor General has submitted that though the Centre has filed an additional affidavit setting out the central government’s views on post-notification developments, it would have no bearing on the constitutional question involved in the matter and hence, it would not be relied upon,” said the bench in its order.

Defending the nullification of Article 370 of the Constitution, the Centre on Monday filed an affidavit to state that the August 5-6, 2019 decision has led to “unprecedented development, progress, security and stability” in J&K, adding that “life has returned to normalcy in the region after three decades of turmoil”. It further said that the nullification has resulted in dismantling of the terror network, and incidents of stone pelting and street violence have “now become a thing of the past” in J&K where all the provision of the Constitution and central laws now apply uniformly.

However, on Tuesday, the bench pointed out that the Centre’s endeavour to portray the situation in J&K after the abrogation is likely to prompt the other side to file their own version of the state of affairs.

“Our apprehension is that you present a post-notification scenario and then they (opposite side) may file another affidavit to cite their version of the post-notification scenario. Even otherwise, that affidavit has no bearing on the questions of the constitutional challenge in these petitions,” the bench told the SG Tushar Mehta, who agreed to undertake that the Centre will not be harping on the contents of the affidavit.

The Constitution bench further ordered that the batch of matters relating to Article 370 and bifurcation of the state into two Union territories will be now listed as “In Re: Article 370 of the Constitution”.

During the brief hearing specifying the procedural directions, the court also allowed requests of bureaucrat Shah Faesal and former student leader Shehla Rashid to withdraw as petitioners challenging the abrogation of Article 370. Faesal resigned from service in protest in 2019 to float a political party in J&K. However, his resignation was not accepted by the government, and he withdrew it later. Faesal’s decision to withdraw the petition came soon after he was taken back into the Indian Administrative Service in April 2022 and was appointed deputy secretary in the Union ministry of culture. In his plea filed on April 29, 2022, Faesal told the court that he does not wish to be part of a petition questioning the Centre’s decision to end the special status of J&K since he wishes to pursue public service without the baggage of political activism.

In its order, the bench clarified that the hearing of the matter will proceed on a day-to-day basis, barring Monday and Friday when the court hears miscellaneous and fresh cases. Advocates Kanu Agrawal and Prasanna V will be the nodal counsel for the preparation of common convenience compilations, said the court, adding pleadings in the matter must complete by July 27.

A raft of petitions, filed by parliamentarians from the National Conference party, Kashmiri citizens, former bureaucrats and various organisations laid the challenge to the abrogation of Article 370 soon after the presidential order in August 2019.

While some petitioners brought up the requirement of consent from the constituent assembly for abrogation of Article 370, others questioned the validity of the President’s rule that was in effect when the abrogation was made. A few of these pleas went back to the Instrument of Accession, while some highlighted the Supreme Court’s ruling of 2018 that observed that Article 370 had gained a status of permanence.

Many petitions have also challenged the Jammu and Kashmir State Reorganisation Act, by which the state was split into two Union territories with effect from October 30, 2019.

On August 28, 2019, the Supreme Court issued notices on the pleas despite resistance from the central government, which argued that Article 370 had international and cross-border implications. The Centre had at that time argued that it was a sensitive matter and whatever happens in the country over it would be brought up at the United Nations. While issuing notices, the court referred the matter to a five-judge Constitution bench.

The matter was last listed in March 2020, when a five-judge bench declined to refer the matter to a larger bench of seven judges. The reference was sought on grounds that two previous judgments of the apex court were conflicting with each other, but the bench did not agree with this contention.

At that time, it was noticed by the bench that there was also an older batch of petitions pending in the Supreme Court that challenged the validity of Articles 370 and 35A, which accorded special status to J&K. It pointed out that all the matters related to Article 370 should preferably be heard together.","The Supreme Court of India has announced that it will commence day-to-day hearings on August 2 regarding various petitions challenging the abrogation of Article 370 of the Indian Constitution, which granted special status to the region of Jammu and Kashmir until August 2019. A five-judge bench, led by Chief Justice Dhananjaya Y. Chandrachud, emphasized that the matter revolves around the constitutional validity of the abrogation. The government stated it would not rely on the contents of an affidavit filed the previous day to explain the developments in Jammu and Kashmir since the move.

The Center had defended the nullification of Article 370, claiming it had brought significant development, security, and stability to the region, and that incidents of violence had significantly decreased. However, the court expressed concerns that presenting the post-abrogation scenario might lead to opposing parties filing their own versions.

The petitions, filed by various individuals and organizations, raise questions about the necessity of consent from the constituent assembly, the validity of the President's rule during the abrogation, the Instrument of Accession, and the status of Article 370. Some also challenge the Jammu and Kashmir State Reorganization Act, which divided the state into two Union territories.

The hearing will proceed day-to-day except for Mondays and Fridays, with preparations to complete by July 27. This legal battle has significant implications for the future of Jammu and Kashmir's constitutional status.",legal proceedings
The Economics Times ,2013-07-23 00:00:00,"BJP, RJD had 'secret understanding' after midday meal tragedy: Nitish Kumar SECTIONSBJP, RJD had 'secret understan ..  Read more at: https://economictimes.indiatimes.com/news/politics-and-nation/bjp-rjd-had-secret-understanding-after-midday-meal-tragedy-nitish-kumar/articleshow/21258148.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst","PATNA: Bihar Chief Minister Nitish Kumar has finally addressed the midday meal tragedy in a Chapra school, asserting that there was a deliberate conspiracy behind it. He further alleged that the Bharatiya Janata Party (BJP) and Rashtriya Janata Dal (RJD) had a clandestine agreement to exploit the incident for political gains. Kumar cited the confirmation from the Forensic Science Laboratory, which revealed the presence of pesticide in the meal, as evidence supporting their suspicions. The state Janata party quoted Kumar's statement, emphasizing the need to uncover the truth behind this tragic event that occurred in Saran last week.
","Bihar Chief Minister Nitish Kumar has accused the Bharatiya Janata Party and Rashtriya Janata Dal of conspiring to exploit a midday meal tragedy in Saran, India, for political gain. He cited evidence from the Forensic Science Laboratory, which revealed the presence of pesticide in the meal, as evidence supporting his suspicions. The state Janata party emphasized the need to uncover the truth.",Politics
The Pioneer,2017-12-15 00:00:00,Ronaldinho mulls move into politics,"Brazil World Cup winner Ronaldinho is considering a move into politics as his celebrated football career draws to an end. Ronaldinho's brother and agent, Roberto Assis, confirmed reports that the 37-year-old received an offer to run for a Brazilian senate seat with the conservative Patriota party in next year's federal elections, Xinhua news agency reported.
 ""The party contacted us to talk about his possible candidacy,"" Assis told Uol. ""They left the door open in case he wants to choose that career path. It's not the first time that a political party has contacted us. It also happened with Romario's party (Brazilian Socialist Party)."" Ronaldinho must decide befoAsre April, the cut off date for candidates to be registered with Brazil's electoral commission. Despite having not played competitively since leaving Fluminense in September 2015, Ronaldinho is yet to officially announce his retirement. In the past two years the former Barcelona star has participated in several exhibition matches around the world, including appearances for Spanish club's legends team. Ronaldinho was twice voted FIFA World Player of the Year and was part of the Brazil team that won the 2002 World Cup in Japan and South Korea.",As footballer and winner of brazil world cup Ronaldinho career is coming towards it end the 37 year old is considering a move into politics. the report was confirmed by his brother and agent Roberto. Ronaldinho has been voted twice as FIFA player of the year. he has yet to officialy announce his retirement.,Sports
The Economic Times,2013-07-27 00:00:00,Congress indicates movement towards formation of Telangana,"NEW DELHI: The Congress is likely to take the final call early next week on the demand to carve a separate state of Telangana in Andhra Pradesh, after its central leadership held several rounds of discussions on the long-pending issue with various stakeholders on Friday.
The process of consultation is over. The time has come to take a decision. The Congress and UPA would take a decision soon and we will let the people know,"" said Digvijaya Singh, Congress general secretary in charge of Andhra Pradesh, soon after a meeting of the party's core group at the prime minister's residence in the evening.
The Congress Working Committee is likely to put its stamp on the final decision at its meeting early next week, a party leader told ET.
While the decision on the demand for statehood has been hanging fire for several years, the party is now also facing pressure from the united Andhra or Seemandhra camp within its state unit. This camp has got the impression from the central leadership that the Congress will soon announce its decision to carve out a separate state, a person familiar with the matter said. The Seemandhra leaders have therefore made a beeline for New Delhi in a bid to stall the decision.
At the core group meeting, Congress president Sonia Gandhi and Prime Minister Manmohan Singh consulted an array of leaders on the issue that has split the party along regional lines in the state. Besides Digvijaya Singh, these included Gandhi's political secretary Ahmed Patel, home minister Sushil Kumar Shinde, finance minister P Chidambaram, defence minister AK Antony and the party's former in-charge in the state Ghulam Nabi Azad.
Earlier in the day, Digvijaya Singh held several rounds of meetings with senior leaders including Andhra Pradesh chief minister N Kirankumar Reddy, state unit chief Botsa Satyanarayana and deputy chief minister Damodar Rajanarasimha.
The party's Cabinet ministers, state ministers and state leaders favouring a united state met at Andhra Bhawan to convey to the leadership their strong opposition to statehood for Telangana.
The meeting was attended by Union ministers KS Rao, MM Pallam Raju, JD Seelam and Chiranjeevi. Senior MPs KVP Ramachandra Rao, L Rajagopal and V Arun Kumar were also present. The group decided to put pressure from all quarters to impress on the high command that the decision to bifurcate the state would not augur well for the party's electoral prospects.
S Sailajanth, the state minister heading this group, told the media after the meeting that they were confident the state would remain united. He dismissed as speculation the talk of a likely decision to carve out Telangana state. ""We have decided to exhaust all options to ensure the state remains united,"" he said.
","The Congress party is close to making a decision about creating a separate state, Telangana, in Andhra Pradesh. The party leaders have discussed this issue with various people and will finalize their decision soon. There's pressure from both sides - those who want a separate state and those who want to keep Andhra Pradesh united. The party leaders met to talk about this, including Sonia Gandhi and the Prime Minister. They also talked to leaders from Andhra Pradesh. Some leaders strongly oppose splitting the state. They believe it's best to keep it together. They are doing everything they can to convince the party leaders to keep Andhra Pradesh united.",National News
The pioneer,2014-12-25 00:00:00,"Will join 'Clean India' drive, not politics: Sourav Ganguly","Former Indian cricket captain Sourav Ganguly Thursday accepted Prime Minister Narendra Modi's call for his participation in the Clean India Mission, but quashed rumours of joining politics. ""It is a noble cause. When I return, I will get to know what is needed to be done and will act accordingly,"" Ganguly told a TV channel over the phone from Australia, a day ahead of the Boxing Day Test. ""India is a large country and problems are there because of the big population. Hygiene is important,"" Ganguly said. However, the cricket legend quashed rumours of foraying into politics. ""I have said earlier also that I am not interested in politics."" Modi Thursday nominated more people to the Clean India Mission, including former Indian police service officer Kiran Bedi, Ganguly, danseuse Sonal Mansingh and the famous 'dabbawalas' of Mumbai. Nagaland Governor P.B. Acharya, comedian Kapil Sharma, Eenadu group, Arun Puri and his India Today Group, and Indian Institute of Chartered Accountants are the other nominees Modi made for the mission Thursday.","Clean India mission is further juoined by former indian cricket captain sourav ganguly but denied any rumours of joining politics. Prime Minister Narendra Modi earlier nominated many people to participate in this mission including Kiran bedi, arun puri, comedian kapil sharma, sonal mansingh among others.",Politics
The economic Times,2008-05-20 00:00:00,"India, Pakistan in new Peace Talks","ISLAMABAD: Nuclear rivals, India and Pakistan held talks on Tuesday aimed at kickstarting their slow-moving peace process, in the first such contact since a new civilian government took power in Islamabad.
The talks are expected to focus on the divided Himalayan region of Kashmir and on Islamist terrorism, the two issues that have most troubled the feuding neighbours since they launched a dialogue in January 2004
The meeting comes a day after an Indian army soldier died in shooting across the military ceasefire line dividing Kashmir, which is split between the two countries and claimed in full by both.
Indian foreign secretary Shivshankar Menon- the country's top foreign ministry bureaucrat - met Pakistani counterpart Salman Bashir for a review of the four rounds of talks held over the past four years, a photographer witnessed.
Foreign ministry officials also confirmed the talks had started. Their meeting will prepare the ground for talks between Indian foreign minister Pranab Mukherjee and his Pakistani counterpart Shah Mehmood Qureshi on Wednesday, a Pakistani foreign ministry statement said.
""The review meetings will help the two sides to assess the progress made in the fourth round of the eight segments of composite dialogue process and deliberate on how to address the outstanding issues in a more meaningful way,"" it said.
Pakistan also announced that it would release 96 jailed Indian fishermen and three civilians on Saturday ""as a gesture of goodwill"" to mark the Indian minister's visit, a Pakistan interior ministry statement said.

","India and Pakistan, both nuclear-armed nations, recently had talks to improve their relations. They discussed issues like Kashmir and terrorism, which have caused conflicts between them. Unfortunately, there was also a recent incident where a soldier was killed in Kashmir. The top diplomats from both countries reviewed their past talks and prepared for discussions between the foreign ministers. As a sign of goodwill, Pakistan decided to release some Indian prisoners. This is an important step towards peace between the two nations.",National News
Indian Express,2004-03-10 00:00:00,Jaya Prada joins SP,"Samajwadi Party president Mulayam Singh Yadav on Tuesday made an impassioned appeal to party workers to fulfil his dream of making SP a national party and stressed that the battlefield for realisation of this dream was the Ganga-Yamuna plains of UP which sent 80 members to Parliament, and that formation of government in Delhi and its fate would be dependent on UP.
Cinestar and former TDP MP Jaya Prada joined the Samajwadi Party at its convention here in Yadav's presence. She termed the move as unconditional and motivated with the desire to work for the uplift of the downtrodden, particularly women. She said she was impressed with Mulayama's style of functioning and the secular credentials of the SP, and exhorted women to work like Jhansi ki Rani in the coming LS elections.
Addressing the convention of party workers and office-bearers, the SP chief was unscathing in his criticism of the BJP and BSP, dubbing them as one. He was equally critical of the rift in the 31 district units of the party in the state and called upon workers to iron out differences so that SP could fulfil its target of winning 60 seats from UP.
Telling workers that the outcome of Lok Sabha polls was dependent on the effort they would make in ensuring the success of the party candidate, he asked them to halt all work till March 30 and concentrate only on voters list.","Actress and former TDP MP Jaya Prada joined SP. The president of SP Mulayam Singh Yadav made announcement. Impressed with the functioning of Mulayam Singh Yadav, she said she wanted to work for women and work like Jhansi ki rani in upcoming LS elections.",Politics
the pioneer,2019-12-31 00:00:00,"Sarpanch held for duping, raping woman","The Commissionerate police on Monday arrested Sarpanch Antaryami Sahu of Mundipadar village in Boudh district for betraying a young woman of Bhubaneswar after impregnating her.
The matter came to the fore after the woman, a resident of Damana here, lodged a complaint against the 38-year-old man at the Chandrasekharpur police station. Cops went to the Sarpanch’s village late on Sunday night and picked him up from his house.
As per the complaint, the Sarpanch had been in a relationship with the 31-year-old woman for the over six years since 2013. He had developed intimacy with her and later impregnated her on the pretext of marriage. It is also alleged that the Sarpanch had married her in a temple. Later, he kept her in a house at Arabinda Nagar Basti here and used to visit her frequently.
Sources said the Sarpanch again had a love affair with a 35-year-old woman Junior Engineer (JE) of Kantamal in Boudh district and married her six months ago. After knowing this, the Bhubaneswar woman lodged the cheating complaint at the Chandrasekharpur police station. The accused has been booked under Sections 376, 414, 313, 201, 341, 323, 294, 427, 506 and 34 of IPC, police said.","Sarpanch of mundipadar village in boudh district was booked after impregnating a 31 year old women, a resident of bhubaneswar on the pretext opf marrying her. He also had a love affair with another women aged 35 year old and allegedly he also married her. upon discovering this the bhubneswar women filed a complaint.",Local News
the pioneer,1970-01-01 00:00:00,To be successful you have to build a plan for life…nobody is going to be successful by waiting for it to happen: Swami Chidananda Giri,"Swami Chidananda Giri, president and spiritual head of Yogoda Satsanga Society of India/Self-Realization Fellowship (YSS/SRF), recently visited India and gave inspirational talks on the Kriya Yoga teachings of Sri Sri Paramahansa Yogananda (author of the Autobiography of a Yogi and founder-Guru of YSS/SRF). During his stay in India, Swami Chidanandaji was interviewed on matters of import affecting different strata of society and the world. Here are some excerpts:
Q: Swamiji, would you have any tips for the youth to achieve real success?
Swami Chidanandaji: “First of all, realise that I have a body, I have a mind but I am the atman — a soul. Real success means organising one's life and one’s goals by giving the right amount of time for each of those. You can’t ignore the material, and you can’t ignore the intellectual development and educational development and you certainly cannot ignore the development of spiritual consciousness. 
  “Real success comes from adopting a way of life that gives time to each one of those. That is exactly what you find in the Yogoda Satsanga Lessons. The whole road map for balanced living: for the health of the body, the efficiency of the mind, in education and cultivation of the intellect and the rational qualities is all very important.
  “And learning to meditate and take a little time. 10 minutes may be in the morning and 10 minutes in the evening. (That's not really fair in a way because once they do it for 10 minutes, they will want to do it for 20 minutes, and once they do 20 minutes, they would want to do it longer…that's how meditation works!) 
  “But the point is…to be successful you have to build a plan for life…nobody is going to be successful by waiting for it to happen. You have to structure the 24 hours we each have in a day. You have to look at that and consciously take control of your time and consciously use your time for the aspirations that you have.”",President and spiritual head of yogoda satsanga society swami chidanadan giri visited india and gave a talk on kriya yoga teachings while also answering some questions. on being asked for tips to the youth he said to build a plan for life to be successful and not wait for it to happen.,Health and Wellness
The economic Times,2009-08-07 00:00:00,Swine Flu must be tackled right,"The death of a schoolgirl in Pune from swine flu has raised the spectre of the pandemic hitting the country. Though the panic, especially in Pune, is out of proportion to the ground realities more people die every year of malaria and diarrhoea  the fact is the appalling state of our healthcare systems makes us particularly vulnerable, should the disease take on epidemic proportions.
The latest scare seems to fit in with the World Health Organisation (WHO) observation that in many countries the earliest cases usually occur as school outbreaks before spreading into the wider community.
According to WHO the number of human cases of pandemic (H1N1) 2009 is still increasing. Since the outbreak of the disease in Mexico in April this year, 168 countries have reported at least one laboratory-confirmed case of the disease.
The WHO's latest (60th) update shows the number of deaths has risen to 1,154 (with the Americas reporting the highest number of deaths at 1,008), up from 816 a week earlier, though estimates from the UK suggest the rate of infection has started to decline.
We are still at the early stage of the pandemic, so chances are we will see an increase in the number of those stricken by the disease, though timely testing and quick remedial action could minimise the number of deaths.
We could take our cue from WHO, which suggests a shift in policy to testing only samples of ill persons because as the pandemic progresses trying to test all ill persons will severely stress our limited resources.
Here we could take a leaf out of the books of the UK where the National Pandemic Flu Service has been launched to ensure better access to antivirals for people with swine flu symptoms. True, given our poor health infrastructure, this might not be possible except in bigger cities.
But the government can and must do two things immediately. It must launch a mass awareness campaign so that there is no widespread panic and it must increase the number of testing centres to beyond government hospitals.
The latter are simply unable to cope with the numbers and if access to testing is not improved we will only see a surge in the number of undetected cases and more panic.
","The recent swine flu case in Pune has caused concern, but it's important to remember that diseases like malaria and diarrhoea actually claim more lives each year. Our healthcare system is not in great shape, which leaves us vulnerable if the disease spreads widely. The World Health Organization notes that outbreaks often start in schools before spreading to the community. The pandemic is still growing globally, with over 1,100 reported deaths. Early testing and action can help save lives. We might consider following WHO's advice to focus testing on those who are sick, as widespread testing could strain our resources. Learning from the UK's approach, we could establish better access to antivirals for those with swine flu symptoms, especially in larger cities. The government should also launch a public awareness campaign to prevent unnecessary panic and increase the number of testing centers outside of government hospitals, as they may become overwhelmed. This way, we can detect cases earlier and reduce panic.",Health and Wellness
